T,  P,  vf,     vfg,    vg, uf, ufg,    ug, hf, hfg,    hg, sf, sfg,    sg,
70, 31.19,  0.001023,   5.04114,    5.04217,    292.93, 2176.62,    2469.55,    292.96, 2333.85,    2626.8, 0.9548, 6.8004, 7.7552,
75, 38.58,  0.001026,   4.13021,    4.13123,    313.87, 2162.03,    2475.91,    313.91, 2321.37,    2635.28,    1.0154, 6.667,  7.6824,
80, 47.39,  0.001029,   3.40612,    3.40715,    334.84, 2147.36,    2482.19,    334.88, 2308.77,    2643.66,    1.0752, 6.5369, 7.6121,
85, 57.83,  0.001032,   2.82654,    2.82757,    355.82, 2132.58,    2488.4, 355.88, 2296.05,    2651.93,    1.1342, 6.4102, 7.5444,
90, 70.14,  0.001036,   2.35953,    2.36056,    376.82, 2117.7, 2494.52,    376.9,  2283.19,    2660.09,    1.1924, 6.2866, 7.479,
95, 84.55,  0.00104,        1.98082,    1.98186,    397.86, 2102.7, 2500.56,    397.94, 2270.19,    2668.13,    1.25,   6.1659, 7.4158,
100,    101.3,  0.001044,   1.67185,    1.6729, 418.91, 2087.58,    2506.5, 419.02, 2257.03,    2676.05,    1.3068, 6.048,  7.3548,
105,    120.8,  0.001047,   1.41831,    1.41936,    440,    2072.34,    2512.34,    440.13, 2243.7, 2683.83,    1.3629, 5.9328, 7.2958,
110,    143.3,  0.001052,   1.20909,    1.21014,    461.12, 2056.96,    2518.09,    461.27, 2230.2, 2691.47,    1.4184, 5.8202, 7.2386,
115,    169.1,  0.001056,   1.03552,    1.03658,    482.28, 2041.44,    2523.72,    482.46, 2216.5, 2698.96,    1.4733, 5.71,   7.1832,
120,    198.5,  0.00106,        0.8908, 0.89186,    503.48, 2025.76,    2529.24,    503.69, 2202.61,    2706.3, 1.5275, 5.602,  7.1295,
125,    232.1,  0.001065,   0.76953,    0.77059,    524.72, 2009.91,    2534.63,    524.96, 2188.5, 2713.46,    1.5812, 5.4962, 7.0774,
130,    270.1,  0.00107,        0.66744,    0.6685, 546,    1993.9, 2539.9, 546.29, 2174.16,    2720.46,    1.6343, 5.3925, 7.0269,
135,    313,    0.001075,   0.5811, 0.58217,    567.34, 1977.69,    2545.03,    567.67, 2159.59,    2727.26,    1.6869, 5.2907, 6.9777,
140,    361.3,  0.00108,        0.50777,    0.50885,    588.72, 1961.3, 2550.02,    589.11, 2144.75,    2733.87,    1.739,  5.1908, 6.9298,
145,    415.4,  0.001085,   0.44524,    0.44632,    610.16, 1944.69,    2554.86,    610.61, 2129.65,    2740.26,    1.7906, 5.0926, 6.8832,
150,    475.9,  0.00109,        0.39169,    0.39278,    631.66, 1927.87,    2559.54,    632.18, 2114.26,    2746.44,    1.8417, 4.996,  6.8378,
155,    543.1,  0.001096,   0.34566,    0.34676,    653.23, 1910.82,    2564.04,    653.82, 2098.56,    2752.39,    1.8924, 4.901,  6.7934,
160,    617.8,  0.001102,   0.30596,    0.30706,    674.85, 1893.52,    2568.37,    675.53, 2082.55,    2758.09,    1.9426, 4.8075, 6.7501,
165,    700.5,  0.001108,   0.27158,    0.27269,    696.55, 1875.97,    2572.51,    697.32, 2066.2, 2763.53,    1.9924, 4.7153, 6.7078,
170,    791.7,  0.001114,   0.24171,    0.24283,    718.31, 1858.14,    2576.46,    719.2,  2049.5, 2768.7, 2.0418, 4.6244, 6.6663,
175,    892,    0.001121,   0.21568,    0.2168, 740.16, 1840.03,    2580.19,    741.16, 2032.42,    2773.58,    2.0909, 4.5347, 6.6256,
180,    1002.2, 0.001127,   0.19292,    0.19405,    762.08, 1821.62,    2583.7, 763.21, 2014.96,    2778.16,    2.1395, 4.4461, 6.5857,
185,    1122.7, 0.001134,   0.17295,    0.17409,    784.08, 1802.9, 2586.98,    785.36, 1997.07,    2782.43,    2.1878, 4.3586, 6.5464,
190,    1254.4, 0.001141,   0.15539,    0.15654,    806.17, 1783.84,    2590.01,    807.61, 1978.76,    2786.37,    2.2358, 4.272,  6.5078,
195,    1397.8, 0.001149,   0.1399, 0.14105,    828.36, 1764.43,    2592.79,    829.96, 1959.99,    2789.96,    2.2835, 4.1863, 6.4697,
200,    1553.8, 0.001156,   0.1262, 0.12736,    850.64, 1744.66,    2595.29,    852.43, 1940.75,    2793.18,    2.3308, 4.1014, 6.4322,
205,    1723,   0.001164,   0.11405,    0.11521,    873.02, 1724.49,    2597.52,    875.03, 1921,   2796.03,    2.3779, 4.0172, 6.3951,
210,    1906.3, 0.001173,   0.10324,    0.10441,    895.51, 1703.93,    2599.44,    897.75, 1900.73,    2798.48,    2.4247, 3.9337, 6.3584,
215,    2104.2, 0.001181,   0.09361,    0.09479,    918.12, 1682.94,    2601.06,    920.61, 1879.91,    2800.51,    2.4713, 3.8507, 6.3221,
220,    2317.8, 0.00119,        0.085,  0.08619,    940.85, 1661.49,    2602.35,    943.61, 1858.51,    2802.12,    2.5177, 3.7683, 6.286,
225,    2547.7, 0.001199,   0.07729,    0.07849,    963.72, 1639.58,    2603.3, 966.77, 1836.5, 2803.27,    2.5639, 3.6863, 6.2502,
230,    2794.9, 0.001209,   0.07037,    0.07158,    986.72, 1617.17,    2603.89,    990.1,  1813.85,    2803.95,    2.6099, 3.6047, 6.2146,
235,    3060.1, 0.001219,   0.06415,    0.06536,    1009.88,    1594.24,    2604.11,    1013.61,    1790.53,    2804.13,    2.6557, 3.5233, 6.1791,
240,    3344.2, 0.001229,   0.05853,    0.05976,    1033.19,    1570.75,    2603.95,    1037.31,    1766.5, 2803.81,    2.7015, 3.4422, 6.1436,
245,    3648.2, 0.00124,        0.05346,    0.0547, 1056.69,    1546.68,    2603.37,    1061.21,    1741.73,    2802.95,    2.7471, 3.3612, 6.1083,
250,    3973,   0.001251,   0.04887,    0.05013,    1080.37,    1522,   2602.37,    1085.34,    1716.18,    2801.52,    2.7927, 3.2802, 6.0729,
255,    4319.5, 0.001263,   0.04471,    0.04598,    1104.26,    1496.66,    2600.93,    1109.72,    1689.8, 2799.51,    2.8382, 3.1992, 6.0374,
260,    4688.6, 0.001276,   0.04093,    0.0422, 1128.37,    1470.64,    2599.01,    1134.35,    1662.54,    2796.89,    2.8837, 3.1181, 6.0018,
265,    5081.3, 0.001289,   0.03748,    0.03877,    1152.72,    1443.87,    2596.6, 1159.27,    1634.34,    2793.61,    2.9293, 3.0368, 5.9661,
270,    5498.7, 0.001302,   0.03434,    0.03564,    1177.33,    1416.33,    2593.66,    1184.49,    1605.16,    2789.65,    2.975,  2.9551, 5.9301,
275,    5941.8, 0.001317,   0.03147,    0.03279,    1202.23,    1387.94,    2590.17,    1210.05,    1574.92,    2784.97,    3.0208, 2.873,  5.8937,
280,    6411.7, 0.001332,   0.02884,    0.03017,    1227.43,    1358.66,    2586.09,    1235.97,    1543.55,    2779.53,    3.0667, 2.7903, 5.857,
285,    6909.4, 0.001348,   0.02642,    0.02777,    1252.98,    1328.41,    2581.38,    1262.29,    1510.97,    2773.27,    3.1129, 2.7069, 5.8198,
290,    7436,   0.001366,   0.0242, 0.02557,    1278.89,    1297.11,    2575.99,    1289.04,    1477.08,    2766.13,    3.1593, 2.6227, 5.7821,
295,    7992.8, 0.001384,   0.02216,    0.02354,    1305.21,    1264.67,    2569.87,    1316.27,    1441.78,    2758.05,    3.2061, 2.5375, 5.7436,
300,    8581,   0.001404,   0.02027,    0.02167,    1331.97,    1230.99,    2562.96,    1344.01,    1404.93,    2748.94,    3.2533, 2.4511, 5.7044,
305,    9201.8, 0.001425,   0.01852,    0.01995,    1359.22,    1195.94,    2555.16,    1372.33,    1366.38,    2738.72,    3.3009, 2.3633, 5.6642,
310,    9856.6, 0.001447,   0.0169, 0.01835,    1387.03,    1159.37,    2546.4, 1401.29,    1325.97,    2727.27,    3.3492, 2.2737, 5.6229,
315,    10547,  0.001472,   0.01539,    0.01687,    1415.44,    1121.11,    2536.55,    1430.97,    1283.48,    2714.44,    3.3981, 2.1821, 5.5803,
320,    11274,  0.001499,   0.01399,    0.01549,    1444.55,    1080.93,    2525.48,    1461.45,    1238.64,    2700.08,    3.4479, 2.0882, 5.5361,
325,    12040,  0.001528,   0.01267,    0.0142, 1474.44,    1038.57,    2513.01,    1492.84,    1191.13,    2683.97,    3.4987, 1.9913, 5.49,
330,    12845,  0.001561,   0.01144,    0.013,  1505.24,    993.66, 2498.91,    1525.29,    1140.56,    2665.85,    3.5506, 1.8909, 5.4416,
335,    13694,  0.001597,   0.01027,    0.01186,    1537.11,    945.77, 2482.88,    1558.98,    1086.37,    2645.35,    3.604,  1.7863, 5.3903,
340,    14586,  0.001638,   0.00916,    0.0108, 1570.26,    894.26, 2464.53,    1594.15,    1027.86,    2622.01,    3.6593, 1.6763, 5.3356,
345,    15525,  0.001685,   0.0081, 0.00978,    1605.01,    838.29, 2443.3, 1631.17,    964.02, 2595.19,    3.7169, 1.5594, 5.2763,
350,    16514,  0.00174,        0.00707,    0.00881,    1641.81,    776.58, 2418.39,    1670.54,    893.38, 2563.92,    3.7776, 1.4336, 5.2111,
355,    17554,  0.001807,   0.00607,    0.00787,    1681.41,    707.11, 2388.52,    1713.13,    813.59, 2526.72,    3.8427, 1.2951, 5.1378,
360,    18651,  0.001892,   0.00505,    0.00694,    1725.19,    626.29, 2351.47,    1760.48,    720.52, 2481,   3.9146, 1.1379, 5.0525,
365,    19807,  0.002011,   0.00398,    0.00599,    1776.13,    526.54, 2302.67,    1815.96,    605.44, 2421.4, 3.9983, 0.9487, 4.947,
370,    21028,  0.002213,   0.00271,    0.00493,    1843.84,    384.69, 2228.53,    1890.37,    441.75, 2332.12,    4.1104, 0.6868, 4.7972,
374.1,  22089,  0.003155,   0,  0.00315,    2029.58,    0,  2029.58,    2099.26,    0,  2099.26,    4.4297, 0,  4.4297,
